sentence,Index
"लोकशाही तोलण्यासाठी संवाद महत्वाचा आहे, या संवादाचा संस्कार करण्याचा प्रयत्न यीन अधिवेशनामागे आहे.",1
देश म्हणजे केवळ चार दिशांच्या सीमांमधला जमिनीचा तुकडा नव्हे आणि देश म्हणजे केवळ शासनव्यवस्थाही नव्हे.,1
माहितीच्या अधिकाराच्या आधारे एक समाज खरंच विकासाच्या दिशेनं एक पाऊल टाकू शकतोय असं जाणवलं,1
मागच्या आठवड्यात जमिनीवरचा न्याय्य हक्क नाकारणाऱ्या व्यवस्थेला जाब विचारण्याची गोष्ट ऐकली.,1
सामान्य माणसाला कट्टरवादी भूमिका घ्यायला सांगणे हे व्यक्तिस्वातंत्र्याचे हनन असून या विरोधात आवाज उठवला पाहिजे,1
मंडेला हे शांतीच्या महत्तम राजदूतांपैकी एक होते. सलोखा आणि क्षमा यावर त्यांचा विश्वास होता.,1
तुरुंगातून सुटका झाल्यावर मंडेला यांनी राष्ट्रीय एकात्मतेचे सरकार निर्माण करण्यात मोलाची भूमिका बजावली.,1
"संसदेचे कार्य प्रचंड गुंतागुंतीचे, वैविध्यपूर्ण व विस्तृत स्वरूपाचे असते.",1
कायदेनिर्मिती प्रक्रियेमध्ये तसेच इतर बाबींची सखोल छाननी करण्याकरिता संसदेकडे वेळ व विशेष ज्ञान व नपुण्याचा अभाव आहे.,1
संसदेच्या कायदेनिर्मिती व इतर कामकाजविषयक बाबींचे कार्य जलद व सुलभ होण्यासाठी विविध संसदीय समित्यांची तरतूद केलेली आहे.,1
भारतीय संघराज्यीय व्यवस्था कॅनडाच्या प्रारूपावर आधारलेली आहे.,1
राष्ट्रपतींच्या निवडीसंदर्भातील सर्व विवादांची चौकशी आणि निर्णय खुद्द सर्वोच्च न्यायालयात घेतला जातो.,1
राष्ट्रपतींविरोधात महाभियोग चालविण्याची प्रक्रिया लोकसभा अथवा राज्यसभा यापकी कुठल्याही सभागृहात सुरू करता येऊ शकते.,1
भारताचे सरन्यायाधीश आणि संबंधित राज्याचे राज्यपाल यांच्याशी विचारविनिमय केल्यानंतर राष्ट्रपती उच्च न्यायालयाच्या मुख्य न्यायमूर्तीची निवड करतात.,1
न्यायमूर्तीचे पगार आणि भत्ते राज्याच्या संचित निधीतून होतात.,1
एखाद्या घटकराज्यासाठी किंवा केंद्रशासित प्रदेशासाठी सामाजिक आणि शैक्षणिकदृष्टय़ा मागास प्रवर्गाची यादी राष्ट्रपती घोषित करतील.,1
घटकराज्यांसाठी सामाजिक आणि शैक्षणिकदृष्टय़ा मागास प्रवर्गाची यादी घोषित करण्यापूर्वी ते संबंधित राज्याच्या राज्यपालांबरोबर सल्लामसलत करतील,1
सामाजिक आणि शैक्षणिकदृष्टय़ा मागास प्रवर्गाच्या बाबतीत कोणत्याही प्रकारचे धोरणात्मक निर्णय घेण्यापूर्वी केंद्र वा राज्य शासनांनी आयोगाशी सल्लामसलत करणे आवश्यक आहे.,1
टेनिस जगतावर अधिराज्य गाजवणारी टेनिसपटू सेरेना विल्यम्स!,2
सेरेनाच्या जन्माच्या काही वर्षांपूर्वीच तिच्या वडिलांनी एक स्वप्न पाहिले होते,2
तरूण सेरेनाने साडेचार वर्षांची असतानाच ज्युनियर स्पर्धांमध्ये भाग घेण्यास सुरूवात केली व अनेक स्पर्धा जिंकल्या.,2
"अधिकाधिक सराव, मेहनत यामुळेच सेरेना जिवंतपणीच एक दंतकथा ठरली यात शंकाच नाही.",2
पुढच्याच वर्षी ऑस्ट्रेलियन ओपन जिंकून सेरेनाने हा विक्रम पूर्णपणे आपल्या नावे केला.,2
प्रसूती रजेनंतर तिचा कोर्टातील कमबॅक पाहून क्रीडारसिकांचा आनंद गगनात मावेनासा झाला होता.,2
"सेरेना हेच मोठे प्रेरणादायी व्यक्तिमत्व अनेक क्रीडापटू, क्रीडाशौनिकांसाठी आहे",2
"उत्साह, जिद्द, सफाईदार खेळ, अफलातून सर्व्हिस ही सेरेनाच्या खेळतील वैशिष्ट्ये",2
"सेरेना नेहमीच म्हणते, “लढत रहा, कितीही संघर्ष करावा; तरीही हार मानू नका",2
टेनिसच्या खेळात चमकदार कामगिरी दाखवणाऱ्या सेरेना विल्यम्सला मनःपूर्वक सलाम!,2
लॉन बॉल या खेळाबद्दल भारतीयांना फारच कमी माहिती आहे.,2
२००८ मध्ये लवलीने पहिल्यांदा या लॉन बॉलच्या राष्ट्रीय स्पर्धेमध्ये भाग घेऊन सुवर्णपदक पटकावले.,2
पिंकीने २०१७ मध्ये झालेल्या आशियाई स्पर्धेमध्ये लॉन बॉल्सच्या तिहेरी प्रकारांमध्ये भारतासाठी सुवर्णपदक जिंकले होते.,2
भारताच्या महिला लॉन बॉल संघाने कोणत्याही सोयी-सुविधा नसताना आपल्या मेहनतीने हे सुवर्णपदक भारताला मिळवून दिले आहे.,2
रूपा राणी याआधी राष्ट्रीय स्तरावर कबड्डी हा खेळ खेळत होती,2
काही कालावधीनंतर तिने लॉन बॉल हा खेळ खेळण्यास सुरुवात केली.,2
आसाममधील गोलाघाट येथे राहणारी नयनमोनी शेतकरी कुटुंबामधील आहे.,2
ईशान्य भागामध्ये खेळ हा प्रत्येकाच्या जीवनाचा अविभाज्य घटकच आहे.,2
उत्तम खेळाडूंना प्रसिद्धी सोबत कधी-कधी चाहत्यांच्या रोषालाही सामोरं जावं लागतं.,2
टोक्यो ऑलिम्पिकमध्ये विनेशला पदकापर्यंतची मजल मारता आली नाही,2
मीराबाई चानू ही जागतिक वेटलिफ्टिंग स्पर्धेत पदक जिंकणारी पहिली भारतीय वेटलिफ्टर.,2
आपल्या आजारावर मात करत पुन्हा एकदा तेवढ्याच जोमाने तिने खेळाला सुरुवात केली.,2
शासन हे त्यागी असते,1
 मैला साफ करताना ते आरोग्यविषयक प्रश्नांचा अभ्यास करत.,1
भारतीय आणि आधुनिक विद्याशाखा यातील त्यांचे अध्ययन अद्भुत होते.,1
"विनोबा, गांधीजींचा अनुयायी नव्हे तर त्यांचा विचार कवेत घेऊन त्याचा अभिनव विकास करणारे कर्मयोगी ठरतात.",1
समाजाला सहकारी व स्वावलंबी बनण्याचे सामथ्र्य प्राप्त करून देणे हे विनोबांचे राजकारण आहे.,1
त्यांनी सामाजिक व आर्थिक क्रांतिकार्याला धर्मसंस्थापनेची प्रतिष्ठा प्राप्त करून दिली,1
मोक्षप्राप्तीच्या मागे लागलेल्यांना अथवा लागू इच्छिणाऱ्यांना क्रांतिकार्याची दीक्षा दिली आहे.,1
आचार्याच्या या चिंतनाला आज सात दशके झाली.,1
लोकप्रतिनिधी म्हणून पद भूषविताना या पदाचा दुरुपयोग करू नये,1
"म्हणजेच मंत्री, खासदारकी-आमदारकी भूषविताना पदाचा लाभ घेत स्वत:चा फायदा करून घेऊ नये.",1
सर्वोच्च न्यायालयाने वेळोवेळी लाभाच्या पदावरून लोकप्रतिनिधींना अपात्र ठरविले आहे.,1
"पद भूषविताना त्याच संस्थेतून लाभ उठविल्यास ते लाभाचे पद ठरते,",1
लाभाच्या पदावरून एखादी तक्रार आल्यास ती निवडणूक आयोगाकडे पाठविली जाते,1
"नैसर्गिक न्यायानुसार निवडणूक आयोगाने निवाडा करावा, अशी अपेक्षा असते.",1
सर्वोच्च न्यायालयातील पाच किंवा त्याहून अधिक सदस्यांचा समावेश असलेल्या पीठास घटनापीठ असे संबोधले जाते.,1
"पाच, सात, नऊ, अकरा, तेरा अशा विषम संख्येत न्यायमूर्तींचा समावेश असतो.",1
"घटनापीठाने एकमताने किंवा बहुमताने निर्णय द्यावा, हे अपेक्षित असल्याने त्यात न्यायमूर्तींची सम संख्या नसते.",1
राज्यघटनेच्या कलम १४५ (३) नुसार भारताचे सरन्यायाधीस घटनापीठाची स्थापना करतात.,1
राज्यघटनेतील महत्वाच्या मुद्द्यांबाबत विश्लेषण करण्यासाठी किंवा पेच सोडविण्यासाठी घटनापीठ स्थापन करून निर्णय दिला जातो.,1
सर्वोच्च न्यायालयाचा निर्णय देशभरात कायदा म्हणून लागू होतो.,1
न्यायमूर्तींच्या उपलब्धतेनुसार घटनापीठाची स्थापना होते,1
साधारणपणे पाच सदस्यीय घटनापीठ स्थापन केले जाते.,1
"गरजेनुसार आणि प्रकरणात अंतर्भूत घटनात्मक मुद्द्यांनुसार किती सदस्यीय पीठ स्थापन करायचे, हे सरन्यायाधीश निश्चित करतात.",1
"घटनापीठापुढे सुनावणी सुरू होण्यास किती काळ लागेल, हे अनिश्चित आहे.",1
एखादे प्रकरण घटनापीठाकडे सोपविण्यास अनेक वर्षे लागू शकतात,1
भारतीय सर्वोच्च न्यायालयाने सत्तरच्या दशकापासून आजपर्यंत अनेक महत्त्वपूर्ण निवाडे दिले.,1
"परिणामी राजकारण, समाजकारण व अर्थकारणात मोठ्या प्रमाणात सुधारणा झाल्या आहेत.",1
या निवाड्यांमुळे संविधानकर्त्यांचा मूळ उद्देश प्रत्यक्षात येत आहे,1
आज समाजात धर्मनिरपेक्षता राखणे अतिशय गरजेचे तरीही जोखमीचे काम आहे.,1
मानवी जीवन हे केवळ सजीव अस्तित्व नसून मानवी प्रतिष्ठेसह अर्थपूर्ण जीवन जगता आले पाहिजे.,1
"केवळ कार्यकारी मंडळच नव्हे, तर कायदे मंडळाच्या मनमानीविरुद्धही हे कलम वापरता येते.",1
कलम २१ अंतर्गत येणारा हक्क हा व्यक्तीच्या जीवनातील अत्यंत महत्त्वाचा हक्क आहे,1
