sentence,English Translation ,Sentiment,Source,Index,index
محسوس تو گوگل ٹرانسلاٹ کا مودیفائد ورژن ہی ہوتا ہے پر اچھا ہے,"It feels like a modified version of Google Translate, but it's good",Positive,https://www.write-urdu.com/,1,2
لکھنا شروع کریں,Start writing,Neutral,https://www.write-urdu.com/,0,0
اس انتظار سے کیا گلا جو تیرے دیدار پر ختم ہو,What is the throat of this waiting that ends with your sight,Negative,https://www.easynepalityping.com/type-urdu,-1,1
جشنِ چراغاں دیوالی کی دلی مبارکباد,Happy Diwali celebration,Positive,@Ishq_Urdu,1,2
کی پہلی پوزیشن کا انحصار انڈیا کی کارکردگی پر,India's first position depends on India's performance,Neutral,Write Urdu,0,0
یوم آزادی پر جنید جمشید اور جامعہ بنوریہ کا قوم کو شاندار تحفہ,Junaid Jamshed and Jamia Banuria's wonderful gift to the nation on Independence Day,Positive,Write Urdu,1,2
سردیوں کی خاموش راتیں اور اسکی یادیں,Silent winter nights and their memories,Positive,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,1,2
میرا دل اتنا میرا نہیں جتنا تمہارا ہے,My heart is not so much mine as it is yours,Positive,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,1,2
خدا کرے تیرا میرے بغیر دل نہ لگے,May God make your heart not feel without me,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
تم بس قبولیت کا یقین رکھو,You just believe in acceptance,Positive,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,1,2
ہم سے بہتر کی تمنا تمہیں لے ڈوبے گی,The desire to be better than us will drown you,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
میرے لفظوں میں قید ماتم کو سنو کبھی,Never listen to the mourning in my words,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
جب لہجے بدل جائیں تو وضاحتیں کیسی,How about explanations when accents change?,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
سوچتا ہوں کر ہی لوں دوسری محبت,I think I should have another love,Positive,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,1,2
بوجھ بن جانے سے یاد بن جانا بہتر ہے,Better to be a memory than a burden,Positive,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,1,2
ہجوم ہے لوگوں کا تم کہاں ہو ؟,"There is a crowd of people, where are you?",Neutral,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,0,0
-ہو کوئی ورد یا آیت سکون کی اے ربِ ذوالجلال مرا دل اداس ہے,"There is a word or a verse of peace, O Lord of the Most High, my heart is sad",Negative,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,-1,1
وہ سچ جن کو ماننے میں ہی فائدہ ہے,The truth that is beneficial to believe,Positive,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,1,2
کوئی مجھے مکمل نہیں جان پایا,No one knows me completely,Neutral,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,0,0
جو نظر انداز کرے اسے نظر آنا چھوڑ دو,Let him who ignores be seen,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
مکافات عمل اٹل ہے,The action is irrevocable,Neutral,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,0,0
دیکھیے ! دل سے اتر گئے ہیں آپ,Look! You have fallen from the heart,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
میرے مزاج کو تنہائی راس اتی ہے,Loneliness suits my mood,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
سہنا نہیں سیکھیں گے تو درد ہوتا رہے گا,"If you don't learn to endure, the pain will continue",Negative,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,-1,1
بندے کے بہتری خدا بندے سے بہتر جانتا ہے,God knows the improvement of the servant better than the servant,Positive,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,1,2
ٹوٹی ہوئی مٹی کھیتوں کے ساتھ قائم ہوتی ہے,Broken soil forms along the fields,Negative,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,-1,1
